Session Associated Time;Session Duration;Client MAC Address;Host Name;Device;OS Type;Upstream Transferred (Bytes);Downstream Transferred (Bytes);Connected AP Name
18/10/2016 21:40;66 333,00;cc:20:e8:8a:0d:94;Unknown;Apple;iOS;248,00;522,00;SALON-2C_AP3
18/10/2016 19:42;22 049,00;4c:66:41:03:94:32;Unknown;Unknown;Android;12 173,00;11 977,00;LOGES-2D_AP
18/10/2016 17:59;1 192 316,00;b8:53:ac:08:42:bc;iPhone-107;Unknown;iOS;45 788,00;243 776,00;LOGES-3CD_AP2
18/10/2016 15:21;26 624,00;b0:9f:ba:c8:aa:11;iPhone;Apple;iOS;220,00;254,00;SALON-5D_AP2
18/10/2016 21:18;16 555,00;a0:99:9b:60:b8:ac;Ricos-iPhone;Apple;iOS;26 119,00;56 244,00;SALON-2C_AP3
18/10/2016 19:14;8 417 378,00;b4:8b:19:a6:13:4b;iPhone6eCamille;Unknown;iOS;7 243 624,00;18 492 789,00;LOGES-5CD_AP3
18/10/2016 20:35;5 008,00;d0:53:49:b9:18:32;POPB-283;Liteon Technology Co., Ltd.;Windows 7/Vista;605,00;495,00;LOGES-5CD_AP3
18/10/2016 12:16;80 138,00;94:eb:cd:c7:49:ee;Unknown;Research In Motion Limited;Unknown;66 454,00;40 611,00;SALON-1D_AP4
18/10/2016 20:57;73 259,00;c8:85:50:6f:85:32;Unknown;Apple;iOS;6 342,00;4 414,00;LOGES-4CD_AP1
18/10/2016 20:17;41 517,00;a4:f1:e8:1b:4a:dc;Unknown;Unknown;iOS;3 285,00;3 843,00;LOGES-5CD_AP2
18/10/2016 19:12;5 244,00;60:a3:7d:c6:73:51;iPhone;Unknown;iOS;276,00;346,00;LOGES-4CD_AP3
18/10/2016 18:33;31 323,00;4c:66:41:03:94:32;Unknown;Unknown;Android;7 299,00;1 176,00;LOGES-3CD_AP5
18/10/2016 15:55;832 327,00;b0:47:bf:20:c5:ba;Unknown;Samsung;Android;32 826,00;345 715,00;LOGES-4CD_AP4
18/10/2016 21:09;20 438,00;80:be:05:5c:af:a9;Unknown;Apple;iOS;220,00;254,00;LOGES-5CD_AP3
18/10/2016 17:30;5 000,00;d0:53:49:b9:18:32;POPB-283;Liteon Technology Co., Ltd.;Windows 7/Vista;605,00;495,00;LOGES-5CD_AP3
18/10/2016 15:59;6 388,00;d8:bb:2c:6c:55:0c;iPhone-Theo;Apple;iOS;220,00;254,00;SALON-1D_AP4
18/10/2016 19:10;44 822,00;c0:63:94:3c:e8:3a;iPhonedemelodie;Apple;iOS;6 949,00;19 279,00;MEDIAS-CONF_AP2
18/10/2016 20:55;12 844,00;28:ed:6a:c6:35:d2;CI-MOBILE;Unknown;iOS;6 289,00;76 011,00;LOGES-3CD_AP3
18/10/2016 16:24;74 433,00;cc:25:ef:b6:b6:88;iPhonedeRobert;Apple;iOS;248,00;300,00;LOGES-4CD_AP2
18/10/2016 19:41;5 585,00;d0:33:11:45:90:c1;iPhone;Apple;iOS;7 559,00;38 277,00;SALON-1D_AP1
18/10/2016 14:21;784 083,00;b4:8b:19:0e:e0:74;iPhonedeJulien;Unknown;iOS;35 458,00;848 668,00;LOGES-2D_AP
18/10/2016 17:22;12 946,00;34:14:5f:c0:d5:bd;android-ec07947b6598c3a9;Unknown;Android;360,00;4 412,00;COULOIR-4CD_AP2
18/10/2016 18:56;35 359,00;f0:25:b7:3f:c6:f6;android-f6dda666f2993789;Samsung;Android;220,00;254,00;LOGES-3CD_AP1
18/10/2016 18:26;65 556,00;d0:22:be:6f:82:2d;android-b3b1ed748e66958e;Samsung;Android;440,00;1 940,00;COULOIR-4CD_AP2
18/10/2016 15:18;30 295,00;80:ea:96:d0:26:b2;Unknown;Apple;iOS;1 944,00;2 690,00;LOGES-5CD_AP2
18/10/2016 18:36;40 844,00;64:9a:be:87:8a:22;Unknown;Apple;iOS;220,00;314,00;COULOIR-4CD_AP1
18/10/2016 18:44;7 729,00;7c:01:91:be:19:9c;Unknown;Apple;iOS;1 680,00;346,00;LOGES-4CD_AP1
18/10/2016 21:21;8 920,00;40:33:1a:ce:f2:33;iPhone;Apple;iOS;220,00;254,00;SALON-2C_AP1
18/10/2016 15:56;90 396,00;d4:8f:33:62:d6:80;Unknown;Microsoft Corporation;Windows (Mobile) 8 / Windows (Mobile) 10;1 435,00;1 392,00;LOGES-5CD_AP2
18/10/2016 17:06;6 009,00;f0:99:bf:2d:24:d5;Unknown;Apple;iOS;726,00;594,00;PORTE-35_AP1
